Source,Target,link_type
32549,32486,friends
32397,32475,friends
32397,32523,friends
32397,32528,friends
32397,32420,friends
32486,32519,friends
32486,32424,friends
32486,32451,friends
32417,32396,friends
32417,32508,friends
32417,32507,friends
32424,32394,friends
32424,32451,friends
32424,32434,friends
32424,32519,friends
32424,32486,friends
32425,32431,friends
32425,32551,friends
32425,32464,friends
32425,32529,friends
32425,32549,friends
32425,32525,friends
32425,32391,friends
32425,32406,friends
32425,32518,friends
32563,32407,friends
32563,32509,friends
32563,32539,friends
32563,32461,friends
32563,32548,friends
32563,32416,friends
32511,32536,friends
32511,32524,friends
32511,32450,friends
32511,32482,friends
32511,32506,friends
32511,32481,friends
32430,32418,friends
32430,32426,friends
32430,32535,friends
32430,32440,friends
32430,32519,friends
32504,32422,friends
32504,32421,friends
32504,32545,friends
32504,32465,friends
32504,32419,friends
32412,32497,friends
32412,32403,friends
32530,32429,friends
32530,32398,friends
32530,32520,friends
32453,32563,friends
32499,32408,friends
32499,32468,friends
32499,32440,friends
32499,32474,friends
32499,32489,friends
32499,32410,friends
32499,32534,friends
32499,32529,friends
32414,32463,friends
32414,32440,friends
32414,32546,friends
32414,32469,friends
32414,32513,friends
32414,32517,friends
32445,32498,friends
32445,32404,friends
32445,32487,friends
32445,32415,friends
32445,32421,friends
32439,32457,friends
32439,32503,friends
32439,32479,friends
32439,32418,friends
32439,32403,friends
32544,32443,friends
32544,32405,friends
32544,32485,friends
32544,32393,friends
32544,32491,friends
32544,32396,friends
32544,32477,friends
32544,32401,friends
32544,32508,friends
32544,32426,friends
32544,32463,friends
32544,32413,friends
32544,32518,friends
32544,32525,friends
32470,32477,friends
32470,32431,friends
32470,32514,friends
32470,32535,friends
32470,32555,friends
32470,32418,friends
32470,32478,friends
32470,32426,friends
32470,32508,friends
32470,32400,friends
32470,32466,friends
32470,32401,friends
32470,32396,friends
32470,32507,friends
32470,32459,friends
32465,32545,friends
32465,32504,friends
32465,32422,friends
32465,32421,friends
32465,32533,friends
32545,32465,friends
32545,32504,friends
32419,32504,friends
32419,32501,friends
32419,32495,friends
32419,32494,friends
32419,32489,friends
32419,32545,friends
32419,32455,friends
32419,32480,friends
32543,32498,friends
32543,32433,friends
32543,32496,friends
32543,32510,friends
32543,32427,friends
32543,32423,friends
32543,32488,friends
32543,32407,friends
32543,32455,friends
32543,32434,friends
32543,32559,friends
32543,32490,friends
32404,32551,friends
32404,32425,friends
32404,32445,friends
32404,32554,friends
32404,32460,friends
32468,32418,friends
32468,32426,friends
32468,32408,friends
32468,32529,friends
32468,32499,friends
32468,32534,friends
32468,32535,friends
32401,32508,friends
32401,32396,friends
32401,32535,friends
32401,32478,friends
32401,32418,friends
32401,32477,friends
32401,32426,friends
32401,32470,friends
32401,32514,friends
32401,32550,friends
32459,32401,friends
32459,32477,friends
32459,32478,friends
32459,32555,friends
32459,32411,friends
32459,32460,friends
32459,32458,friends
32459,32553,friends
32503,32439,friends
32503,32468,friends
32503,32401,friends
32512,32541,friends
32512,32447,friends
32512,32495,friends
32512,32409,friends
32512,32489,friends
32512,32468,friends
32415,32416,friends
32415,32496,friends
32415,32435,friends
32415,32498,friends
32415,32429,friends
32415,32397,friends
32415,32395,friends
32415,32543,friends
32415,32433,friends
32415,32546,friends
32415,32415,friends
32421,32504,friends
32421,32465,friends
32421,32432,friends
32421,32522,friends
32421,32422,friends
32421,32545,friends
32421,32460,friends
32421,32546,friends
32421,32554,friends
32489,32410,friends
32489,32413,friends
32489,32499,friends
32489,32441,friends
32489,32480,friends
32491,32443,friends
32491,32518,friends
32491,32406,friends
32491,32544,friends
32491,32507,friends
32491,32405,friends
32491,32485,friends
32491,32463,friends
32491,32413,friends
32491,32396,friends
32491,32478,friends
32491,32418,friends
32491,32508,friends
32491,32425,friends
32491,32408,friends
32491,32541,friends
32515,32505,friends
32515,32408,friends
32515,32462,friends
32521,32436,friends
32521,32531,friends
32521,32460,friends
32506,32481,friends
32506,32511,friends
32506,32482,friends
32506,32536,friends
32506,32450,friends
32506,32524,friends
32524,32511,friends
32524,32450,friends
32524,32482,friends
32524,32506,friends
32524,32481,friends
32524,32410,friends
32524,32536,friends
32473,32448,friends
32473,32479,friends
32473,32484,friends
32473,32502,friends
32399,32529,friends
32399,32420,friends
32399,32432,friends
32399,32425,friends
32399,32551,friends
32399,32443,friends
32399,32468,friends
32399,32499,friends
32399,32525,friends
32399,32523,friends
32399,32435,friends
32399,32409,friends
32399,32413,friends
32399,32459,friends
32399,32406,friends
32482,32481,friends
32482,32536,friends
32482,32450,friends
32482,32524,friends
32482,32412,friends
32469,32513,friends
32469,32517,friends
32469,32546,friends
32469,32540,friends
32469,32440,friends
32469,32409,friends
32469,32462,friends
32409,32512,friends
32409,32495,friends
32409,32420,friends
32409,32462,friends
32409,32513,friends
32409,32517,friends
32409,32540,friends
32409,32546,friends
32409,32469,friends
32409,32446,friends
32409,32501,friends
32409,32432,friends
32409,32436,friends
32409,32409,friends
32409,32435,friends
32409,32414,friends
32409,32395,friends
32409,32399,friends
32409,32528,friends
32409,32428,friends
32409,32526,friends
32409,32493,friends
32409,32397,friends
32409,32534,friends
32409,32499,friends
32409,32408,friends
32409,32421,friends
32409,32422,friends
32409,32523,friends
32409,32529,friends
32409,32440,friends
32409,32516,friends
32409,32556,friends
32409,32479,friends
32409,32437,friends
32514,32477,friends
32514,32400,friends
32514,32401,friends
32514,32478,friends
32514,32550,friends
32514,32405,friends
32514,32418,friends
32514,32470,friends
32514,32555,friends
32514,32544,friends
32514,32535,friends
32514,32396,friends
32514,32508,friends
32514,32426,friends
32420,32446,friends
32420,32399,friends
32420,32409,friends
32420,32540,friends
32420,32528,friends
32420,32527,friends
32420,32432,friends
32420,32448,friends
32483,32457,friends
32483,32442,friends
32483,32560,friends
32546,32421,friends
32546,32422,friends
32546,32513,friends
32546,32517,friends
32546,32469,friends
32546,32484,friends
32546,32499,friends
32546,32480,friends
32546,32501,friends
32546,32455,friends
32546,32490,friends
32546,32435,friends
32546,32415,friends
32546,32460,friends
32546,32496,friends
32546,32414,friends
32546,32547,friends
32509,32510,friends
32509,32559,friends
32509,32542,friends
32509,32416,friends
32509,32407,friends
32509,32457,friends
32509,32539,friends
32493,32448,friends
32493,32473,friends
32428,32479,friends
32428,32475,friends
32428,32448,friends
32534,32408,friends
32534,32463,friends
32534,32468,friends
32534,32550,friends
32534,32541,friends
32534,32467,friends
32534,32499,friends
32534,32406,friends
32534,32553,friends
32534,32413,friends
32534,32478,friends
32534,32540,friends
32534,32405,friends
32534,32409,friends
32534,32529,friends
32534,32551,friends
32534,32431,friends
32534,32392,friends
32534,32474,friends
32534,32440,friends
32534,32418,friends
32534,32426,friends
32534,32393,friends
32426,32418,friends
32426,32396,friends
32426,32535,friends
32476,32457,friends
32476,32490,friends
32476,32483,friends
32476,32471,friends
32476,32472,friends
32539,32509,friends
32539,32476,friends
32539,32407,friends
32539,32548,friends
32539,32563,friends
32539,32528,friends
32539,32461,friends
32495,32512,friends
32495,32454,friends
32495,32494,friends
32495,32541,friends
32477,32514,friends
32477,32401,friends
32477,32396,friends
32477,32400,friends
32477,32544,friends
32477,32408,friends
32477,32405,friends
32477,32508,friends
32477,32418,friends
32477,32470,friends
32477,32535,friends
32477,32431,friends
32477,32426,friends
32477,32550,friends
32408,32550,friends
32408,32541,friends
32408,32413,friends
32408,32474,friends
32408,32499,friends
32408,32440,friends
32408,32467,friends
32408,32515,friends
32408,32534,friends
32408,32405,friends
32510,32490,friends
32510,32509,friends
32510,32543,friends
32510,32416,friends
32510,32407,friends
32510,32433,friends
32510,32542,friends
32510,32427,friends
32510,32455,friends
32520,32556,friends
32520,32449,friends
32533,32433,friends
32533,32465,friends
32533,32498,friends
32533,32458,friends
32533,32502,friends
32533,32555,friends
32533,32416,friends
32533,32543,friends
32559,32558,friends
32559,32565,friends
32559,32509,friends
32559,32427,friends
32559,32407,friends
32559,32562,friends
32559,32488,friends
32540,32420,friends
32540,32409,friends
32540,32469,friends
32540,32513,friends
32540,32517,friends
32540,32462,friends
32540,32534,friends
32540,32546,friends
32540,32476,friends
32540,32490,friends
32540,32528,friends
32540,32558,friends
32540,32493,friends
32540,32565,friends
32540,32432,friends
32442,32484,friends
32442,32560,friends
32442,32438,friends
32442,32548,friends
32455,32489,friends
32455,32480,friends
32455,32546,friends
32455,32419,friends
32455,32413,friends
32455,32501,friends
32455,32435,friends
32455,32540,friends
32455,32392,friends
32455,32402,friends
32455,32410,friends
32558,32528,friends
32558,32565,friends
32556,32402,friends
32556,32565,friends
32556,32520,friends
32556,32398,friends
32556,32448,friends
32527,32420,friends
32527,32435,friends
32464,32431,friends
32464,32425,friends
32464,32551,friends
32464,32525,friends
32464,32549,friends
32464,32391,friends
32464,32414,friends
32464,32406,friends
32416,32433,friends
32416,32548,friends
32416,32496,friends
32416,32415,friends
32416,32543,friends
32416,32533,friends
32416,32458,friends
32416,32563,friends
32416,32509,friends
32416,32498,friends
32416,32546,friends
32416,32407,friends
32416,32461,friends
32416,32510,friends
32498,32543,friends
32498,32445,friends
32498,32555,friends
32498,32415,friends
32498,32451,friends
32498,32427,friends
32498,32487,friends
32498,32488,friends
32498,32502,friends
32498,32433,friends
32498,32533,friends
32460,32458,friends
32460,32459,friends
32460,32421,friends
32460,32422,friends
32460,32404,friends
32467,32553,friends
32467,32408,friends
32467,32413,friends
32467,32448,friends
32467,32405,friends
32467,32485,friends
32467,32393,friends
32467,32517,friends
32467,32534,friends
32508,32401,friends
32508,32396,friends
32508,32535,friends
32508,32418,friends
32508,32478,friends
32508,32555,friends
32508,32477,friends
32508,32426,friends
32427,32434,friends
32427,32488,friends
32427,32394,friends
32427,32407,friends
32427,32433,friends
32427,32423,friends
32427,32543,friends
32427,32542,friends
32529,32399,friends
32529,32425,friends
32529,32541,friends
32529,32408,friends
32529,32468,friends
32529,32551,friends
32529,32492,friends
32529,32499,friends
32529,32439,friends
32529,32525,friends
32529,32549,friends
32529,32485,friends
32529,32405,friends
32529,32489,friends
32529,32413,friends
32555,32470,friends
32555,32514,friends
32555,32423,friends
32555,32465,friends
32555,32498,friends
32555,32418,friends
32555,32533,friends
32555,32435,friends
32528,32539,friends
32528,32540,friends
32528,32420,friends
32528,32558,friends
32528,32476,friends
32528,32402,friends
32528,32565,friends
32552,32562,friends
32479,32516,friends
32479,32448,friends
32479,32403,friends
32479,32487,friends
32479,32428,friends
32479,32457,friends
32479,32541,friends
32479,32439,friends
32471,32483,friends
32471,32452,friends
32471,32484,friends
32471,32537,friends
32471,32457,friends
32438,32484,friends
32438,32537,friends
32438,32442,friends
32400,32478,friends
32400,32514,friends
32400,32477,friends
32400,32405,friends
32400,32396,friends
32400,32401,friends
32400,32550,friends
32400,32443,friends
32400,32485,friends
32400,32418,friends
32400,32463,friends
32400,32544,friends
32400,32426,friends
32400,32491,friends
32400,32515,friends
32400,32462,friends
32400,32529,friends
32400,32393,friends
32400,32470,friends
32400,32508,friends
32400,32555,friends
32400,32459,friends
32475,32397,friends
32475,32428,friends
32475,32432,friends
32548,32407,friends
32548,32416,friends
32548,32461,friends
32548,32539,friends
32548,32509,friends
32548,32563,friends
32548,32561,friends
32394,32434,friends
32394,32451,friends
32394,32424,friends
32394,32488,friends
32394,32519,friends
32478,32405,friends
32478,32463,friends
32478,32400,friends
32478,32535,friends
32478,32443,friends
32478,32393,friends
32478,32514,friends
32478,32401,friends
32478,32550,friends
32478,32485,friends
32478,32418,friends
32478,32491,friends
32478,32544,friends
32478,32529,friends
32478,32408,friends
32478,32470,friends
32478,32508,friends
32478,32555,friends
32478,32459,friends
32478,32411,friends
32435,32527,friends
32435,32415,friends
32411,32411,friends
32538,32554,friends
32538,32529,friends
32538,32549,friends
32538,32531,friends
32538,32422,friends
32538,32460,friends
32538,32458,friends
32519,32394,friends
32519,32451,friends
32519,32434,friends
32519,32424,friends
32519,32486,friends
32519,32430,friends
32565,32565,friends
32565,32556,friends
32565,32558,friends
32565,32528,friends
32565,32402,friends
32565,32559,friends
32565,32523,friends
32484,32452,friends
32484,32442,friends
32484,32419,friends
32418,32535,friends
32418,32426,friends
32418,32468,friends
32418,32555,friends
32418,32477,friends
32418,32431,friends
32418,32470,friends
32418,32550,friends
32418,32401,friends
32418,32396,friends
32462,32456,friends
32462,32517,friends
32462,32513,friends
32462,32460,friends
32462,32409,friends
32456,32462,friends
32456,32513,friends
32456,32463,friends
32456,32551,friends
32456,32517,friends
32456,32478,friends
32551,32549,friends
32551,32431,friends
32551,32425,friends
32551,32529,friends
32551,32525,friends
32551,32391,friends
32551,32554,friends
32551,32464,friends
32551,32404,friends
32551,32399,friends
32451,32394,friends
32451,32519,friends
32451,32431,friends
32451,32507,friends
32451,32413,friends
32451,32478,friends
32451,32486,friends
32451,32424,friends
32451,32485,friends
32451,32396,friends
32553,32467,friends
32553,32402,friends
32553,32534,friends
32553,32392,friends
32553,32419,friends
32553,32544,friends
32553,32411,friends
32553,32448,friends
32553,32473,friends
32553,32493,friends
32553,32516,friends
32553,32541,friends
32433,32533,friends
32433,32498,friends
32433,32502,friends
32433,32496,friends
32433,32404,friends
32433,32416,friends
32433,32465,friends
32433,32510,friends
32433,32543,friends
32433,32427,friends
32433,32542,friends
32433,32451,friends
32433,32546,friends
32433,32487,friends
32433,32424,friends
32433,32488,friends
32433,32504,friends
32433,32407,friends
32480,32455,friends
32480,32489,friends
32480,32546,friends
32480,32501,friends
32480,32419,friends
32413,32474,friends
32413,32405,friends
32413,32408,friends
32413,32393,friends
32413,32485,friends
32413,32467,friends
32554,32392,friends
32554,32532,friends
32554,32538,friends
32554,32531,friends
32554,32458,friends
32542,32407,friends
32542,32392,friends
32542,32433,friends
32542,32455,friends
32542,32402,friends
32542,32427,friends
32542,32488,friends
32542,32543,friends
32542,32416,friends
32542,32502,friends
32542,32559,friends
32542,32490,friends
32542,32510,friends
32542,32409,friends
32542,32540,friends
32410,32489,friends
32410,32499,friends
32410,32441,friends
32410,32480,friends
32410,32413,friends
32562,32552,friends
32562,32531,friends
32562,32407,friends
32562,32482,friends
32562,32490,friends
32562,32563,friends
32536,32536,friends
32536,32524,friends
32536,32511,friends
32536,32482,friends
32536,32506,friends
32536,32450,friends
32536,32481,friends
32536,32521,friends
32429,32415,friends
32429,32475,friends
32402,32402,friends
32402,32528,friends
32402,32558,friends
32402,32565,friends
32402,32553,friends
32402,32411,friends
32402,32420,friends
32402,32397,friends
32507,32396,friends
32507,32405,friends
32507,32544,friends
32507,32535,friends
32507,32417,friends
32507,32491,friends
32507,32443,friends
32507,32518,friends
32531,32460,influence
32393,32396,influence
32516,32448,influence
32516,32525,influence
32516,32443,influence
32516,32463,influence
32431,32477,influence
32431,32507,influence
32474,32405,influence
32474,32544,influence
32474,32507,influence
32474,32396,influence
32474,32393,influence
32437,32540,influence
32437,32420,influence
32437,32523,influence
32472,32540,influence
32472,32441,influence
32423,32396,influence
32423,32555,influence
32423,32488,influence
32452,32551,influence
32537,32443,influence
32537,32459,influence
32457,32408,influence
32457,32485,influence
32434,32507,influence
32406,32518,influence
32406,32406,influence
32406,32491,influence
32406,32443,influence
32406,32439,influence
32535,32426,influence
32535,32418,influence
32535,32396,influence
32436,32406,influence
32436,32491,influence
32436,32408,influence
32436,32485,influence
32436,32405,influence
32490,32455,influence
32441,32489,influence
32518,32518,influence
32440,32535,influence
32440,32396,influence
32440,32393,influence
32560,32547,influence
32446,32420,influence
32446,32443,influence
32448,32405,influence
32448,32425,influence
32448,32448,influence
32443,32443,influence
32443,32518,influence
32443,32491,influence
32443,32405,influence
32458,32460,influence
32532,32420,influence
32532,32540,influence
32488,32543,influence
32488,32559,influence
32513,32406,influence
32513,32425,influence
32513,32491,influence
32513,32525,influence
32513,32408,influence
32513,32405,influence
32513,32544,influence
32407,32544,influence
32522,32408,influence
32522,32529,influence
32522,32468,influence
32522,32393,influence
32517,32406,influence
32517,32425,influence
32517,32491,influence
32517,32518,influence
32517,32525,influence
32517,32405,influence
32517,32485,influence
32517,32474,influence
32517,32391,influence
32526,32540,influence
32549,32431,influence
32549,32554,influence
32549,32440,influence
32397,32420,influence
32397,32540,influence
32397,32409,influence
32417,32396,influence
32417,32507,influence
32417,32393,influence
32424,32507,influence
32424,32485,influence
32424,32396,influence
32425,32544,influence
32425,32405,influence
32425,32393,influence
32425,32518,influence
32511,32396,influence
32453,32452,influence
32499,32408,influence
32499,32529,influence
32499,32535,influence
32499,32426,influence
32499,32443,influence
32414,32408,influence
32414,32405,influence
32445,32540,influence
32439,32406,influence
32439,32518,influence
32439,32443,influence
32439,32491,influence
32470,32477,influence
32468,32443,influence
32468,32525,influence
32468,32507,influence
32401,32535,influence
32401,32396,influence
32401,32508,influence
32401,32418,influence
32401,32477,influence
32401,32478,influence
32459,32544,influence
32459,32485,influence
32459,32443,influence
32503,32552,influence
32415,32416,influence
32415,32496,influence
32415,32415,influence
32491,32491,influence
32491,32443,influence
32491,32405,influence
32491,32518,influence
32521,32507,influence
32524,32396,influence
32399,32443,influence
32399,32525,influence
32399,32540,influence
32399,32507,influence
32399,32544,influence
32399,32405,influence
32399,32406,influence
32409,32420,influence
32409,32540,influence
32409,32409,influence
32420,32540,influence
32483,32540,influence
32509,32488,influence
32509,32427,influence
